delivery_id,order_id,delivery_city,delivery_region,delivery_status,shipping_company,shipped_date,delivered_date
1,1,rabat,Rabat-Salé-Kénitra,delivered,Amana Express,2026-04-29,04-05-2026
2,2,Tangier,Tanger-Tétouan-Al Hoceïma,livré,Jibli,03/26/2025,2025-04-03
3,3,TANGER,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,26/04/2026,May 03 2026
4,4,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Amana Express,21-04-2026,Apr 28 2026
5,5,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,08/19/2025,23-08-2025
6,6,tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,10/31/2025,Nov 02 2025
7,7,Casablanca,Casa Settat,delivered,Jibli,03/22/2025,Mar 25 2025
8,8,Casablanca,Casa Settat,delivered,Barid Logistics,01/10/2026,Jan 15 2026
9,9,Marrakech,Marrakech-Safi,delivered,Amana Express,19/03/2026,2026-03-24
10,10,Fès,Fès-Meknès,delayed,AtlasShip,Dec 31 2025,01/03/2026
11,11,Oujda,Oriental,failed,Tanger Delivery,May 10 2025,2025-05-18
12,12,Tnja,Tanger Tetouan,failed,Barid Logistics,10/01/2025,2025-01-11
13,13,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-08-12,Aug 19 2025
14,14,Tanger,Tanger-Tétouan-Al Hoceïma,Livré,Tanger Delivery,02/15/2026,23-02-2026
15,15,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,05-09-2025,2025-09-09
16,16,Marrakech,Marrakech-Safi,Livré,Amana Express,09-07-2025,07/11/2025
17,17,CASABLANCA,Casablanca-Settat,delivered,Tanger Delivery,22-02-2026,Feb 28 2026
18,18,Rabat,Rabat-Salé-Kénitra,delivered,Amana Express,Mar 04 2026,12/03/2026
19,19,casa,Casa Settat,delivered,Amana Express,2025-12-30,12/31/2025
20,20,Tétouan,,delivered,Jibli,12/09/2025,Dec 13 2025
21,21,Kénitra,Rabat-Salé-Kénitra,delayed,Jibli,Jul 16 2025,Jul 24 2025
22,22,RABAT,Rabat-Salé-Kénitra,failed,Tanger Delivery,04/03/2025,
23,23,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-01-05,01/07/2025
24,24,Casablanca,Casablanca-Settat,delivered,Amana Express,04/08/2026,Apr 13 2026
25,25,Tanger,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,25/02/2025,02/27/2025
26,26,Agadir,Souss-Massa,delayed,Barid Logistics,Apr 27 2026,02/05/2026
27,27,Fès,Fes Meknes,delivered,Tanger Delivery,04/04/2026,04/08/2026
28,28,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,10-05-2025,05/14/2025
29,29,TETOUAN,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,08-08-2025,16-08-2025
30,30,Marrakech,Marrakech-Safi,delivered,Amana Express,Sep 13 2025,Sep 18 2025
31,31,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,14/02/2025,15/02/2025
32,32,Oujda,Oriental,delivered,Amana Express,2025-08-25,08/27/2025
33,33,Meknès,Fès-Meknès,delivered,Tanger Delivery,10/17/2025,Oct 25 2025
34,34,Fès,Fès-Meknès,failed,AtlasShip,04-11-2025,
35,35,Casablanca,Casablanca-Settat,delivered,Amana Express,23/01/2026,Jan 29 2026
36,36,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,Oct 28 2025,30-10-2025
37,37,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Jibli,2025-10-30,Nov 05 2025
38,38,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Jibli,2025-01-17,23/01/2025
39,39,Marrakech,Marrakech-Safi,delivered,AtlasShip,Aug 10 2025,08/18/2025
40,40,Fès,Fès-Meknès,DELIVERED,Barid Logistics,12/09/2025,09/18/2025
41,41,CASABLANCA,Casablanca-Settat,in_transit,Barid Logistics,Apr 03 2025,06/04/2025
42,42,CAS,Casablanca-Settat,livré,AtlasShip,05/19/2026,05/21/2026
43,43,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,24/07/2025,Aug 01 2025
44,44,Fès,Fès-Meknès,delivered,AtlasShip,04-02-2026,10-02-2026
45,45,,Tanger-Tétouan-Al Hoceïma,failed,Barid Logistics,2025-05-01,
46,46,CAS,Casablanca-Settat,delivered,Tanger Delivery,13-03-2026,2026-03-16
47,47,Meknès,,delivered,Jibli,01/11/2025,11/09/2025
48,48,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,03/16/2026,Mar 22 2026
49,49,Kénitra,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-05-22,05/25/2025
50,50,rabat,RSK,delivered,Jibli,02/05/2025,11-02-2025
51,51,Rabat,Rabat-Salé-Kénitra,livré,Jibli,09/30/2025,2025-10-01
52,52,Tétouan,TTA,delivered,Jibli,2026-01-06,2026-01-07
53,53,Fès,Fes Meknes,in_transit,Amana Express,03/09/2025,Mar 15 2025
54,54,Kénitra,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-07-08,Jul 15 2025
55,55,Rabat,Rabat-Salé-Kénitra,delivered,Barid Logistics,Jan 23 2025,Jan 25 2025
56,56,Agadir,Souss-Massa,KO,Tanger Delivery,23-03-2025,27/03/2025
